,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
210,848,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,49,1,23,0,0,10
211,606,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,42,1,13,0,0,10
212,611,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,34,0,28,0,0,10
213,849,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,23,0,11,0,0,10
214,30,ATL,21,35,164,0,0,3,28,18,71.6,2,8,0,8,0,0,0,0,0,1,0,10
215,129,ATL,0,0,0,0,0,0,0,0,,7,54,0,14,2,2,13,0,12,0,0,10
216,128,ATL,0,0,0,0,0,0,0,0,,15,49,0,12,6,3,23,0,9,0,0,10
217,850,ATL,0,0,0,0,0,0,0,0,,2,13,0,8,3,3,18,0,9,0,0,10
218,41,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,51,0,16,0,0,10
219,851,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,31,0,18,0,0,10
220,58,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,9,0,0,10
221,26,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,10
222,852,NYJ,20,37,258,2,1,6,51,40,82.9,0,0,0,0,0,0,0,0,0,1,0,11
223,692,NYJ,0,0,0,0,0,0,0,0,,9,24,0,9,0,0,0,0,0,0,0,11
224,853,NYJ,0,0,0,0,0,0,0,0,,4,15,0,12,3,1,11,0,11,0,0,11
225,854,NYJ,0,0,0,0,0,0,0,0,,4,6,0,2,2,1,14,0,14,0,0,11
226,742,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,97,2,35,0,0,11
227,489,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,51,0,25,0,0,11
228,855,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,40,0,40,0,0,11
229,70,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,26,0,10,0,0,11
230,709,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,22,0,8,0,0,11
231,856,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,11
232,857,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,-3,0,-3,0,0,11
233,579,CAR,24,35,279,1,0,1,9,57,102.0,5,-1,1,5,0,0,0,0,0,1,1,11
234,108,CAR,0,0,0,0,0,0,0,0,,21,98,0,18,9,9,89,0,22,0,0,11
235,115,CAR,0,0,0,0,0,0,0,0,,1,14,0,14,8,6,80,0,27,0,0,11
236,573,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,57,1,57,0,0,11
237,858,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,26,0,11,0,0,11
238,106,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0,11
239,524,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,6,0,5,0,0,11
240,859,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,4,0,3,0,0,11
241,170,CLE,21,28,321,0,1,2,17,44,97.5,1,7,0,7,0,0,11,0,0,0,0,12
242,174,CLE,0,0,0,0,0,0,0,0,,15,83,2,18,2,2,18,0,10,1,1,12
243,168,CLE,0,0,0,0,0,0,0,0,,6,33,1,15,3,3,28,0,19,0,0,12
244,860,CLE,0,0,0,0,0,0,0,0,,1,17,0,17,5,3,69,0,44,0,0,12
245,176,CLE,0,0,0,0,0,0,0,0,,2,13,1,8,5,5,71,0,32,0,0,12
246,177,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,76,0,43,0,0,12
247,25,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,27,0,14,0,0,12
248,861,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,17,0,17,0,0,12
249,862,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0,12
