,Player,Tm,Cmp,Att,Yds,TD,Int,Sk,Yds,Lng,Rate,Att,Yds,TD,Lng,Tgt,Rec,Yds,TD,Lng,Fmb,FL,gameid
203,424,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,46,0,10,0,0,10
204,416,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,39,0,24,0,0,10
205,417,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,20,1,6,0,0,10
206,432,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0,10
207,425,LAR,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0,10
208,420,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0,10
209,113,CAR,25,38,239,0,1,3,23,17,72.1,3,-2,0,3,0,0,0,0,0,1,1,10
210,108,CAR,0,0,0,0,0,0,0,0,,19,128,2,23,11,10,81,0,17,0,0,10
211,110,CAR,0,0,0,0,0,0,0,0,,1,1,1,1,0,0,0,0,0,0,0,10
212,115,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,76,0,15,1,1,10
213,107,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,36,0,14,0,0,10
214,102,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,32,0,16,0,0,10
215,95,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,14,0,14,0,0,10
216,109,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,10
217,106,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,10
218,327,IND,21,27,190,2,0,2,17,25,120.7,3,9,0,6,0,0,0,0,0,1,0,11
219,331,IND,0,0,0,0,0,0,0,0,,25,174,1,63,0,0,0,0,0,0,0,11
220,321,IND,0,0,0,0,0,0,0,0,,4,13,0,6,4,4,4,0,8,0,0,11
221,328,IND,0,0,0,0,0,0,0,0,,1,7,0,7,1,1,1,0,1,0,0,11
222,313,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,87,2,19,0,0,11
223,316,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,35,0,25,0,0,11
224,330,IND,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,32,0,16,0,0,11
225,320,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,20,0,20,0,0,11
226,325,IND,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0,11
227,332,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0,11
228,397,LAC,25,34,333,3,1,4,23,55,121.3,1,6,0,6,0,0,0,0,0,1,0,11
229,393,LAC,0,0,0,0,0,0,0,0,,12,58,1,19,7,6,96,2,55,0,0,11
230,415,LAC,0,0,0,0,0,0,0,0,,6,57,0,24,3,1,4,0,4,0,0,11
